,Value
1995-01-01,-0.5166242077419589
1995-02-01,4.636345068370394
1995-03-01,7.151049580062969
1995-04-01,10.184260565646449
1995-05-01,8.560676829416286
1995-06-01,7.076072113088807
1995-07-01,-0.5261923169860632
1995-08-01,-4.857067641225197
1995-09-01,-9.352470330972164
1995-10-01,-10.81390903490163
1995-11-01,-8.15541903456751
1995-12-01,-3.7307673531128573
1996-01-01,1.3122700470754682
1996-02-01,4.3101681980627236
1996-03-01,10.215100465108648
1996-04-01,12.956585672058651
1996-05-01,9.356709115813462
1996-06-01,4.648232026806556
1996-07-01,-0.9720881502235564
1996-08-01,-4.79770134938952
1996-09-01,-8.227021953324353
1996-10-01,-9.700147936787836
1996-11-01,-7.508431927775154
1996-12-01,-4.372759495238458
1997-01-01,-0.2229896607554952
1997-02-01,5.766022241574353
1997-03-01,8.45623319391097
1997-04-01,11.248769911704281
1997-05-01,10.076281503870629
1997-06-01,4.814850658258488
1997-07-01,0.39907800902836377
1997-08-01,-5.216822927863176
1997-09-01,-7.265518297415357
1997-10-01,-9.444238634582739
1997-11-01,-7.862608177587862
1997-12-01,-4.565189369349316
1998-01-01,1.1033407998027984
1998-02-01,3.896439368666557
1998-03-01,8.655033355219306
1998-04-01,11.292252041603186
1998-05-01,10.603719021846274
1998-06-01,5.983087240812883
1998-07-01,2.6758931609631693
1998-08-01,-3.3728107094698903
1998-09-01,-6.931148085063876
1998-10-01,-9.960546009305132
1998-11-01,-9.083245046686523
1998-12-01,-3.3829270894313224
1999-01-01,2.941251760642803
1999-02-01,6.248363437517797
1999-03-01,10.910591843753219
1999-04-01,11.252984637848872
1999-05-01,9.595240089614196
1999-06-01,6.274220009343658
1999-07-01,1.9822314645150423
1999-08-01,-3.732079645575187
1999-09-01,-8.150910196250024
1999-10-01,-8.411408540401684
1999-11-01,-8.142557270785932
1999-12-01,-1.6655488100579456
2000-01-01,2.1064313062888536
2000-02-01,7.6258714566336225
2000-03-01,10.729243562871591
2000-04-01,13.022550959638966
2000-05-01,9.676831911057864
2000-06-01,7.212756975961604
2000-07-01,-0.6194653257969325
2000-08-01,-3.1019467280662547
2000-09-01,-6.142555755326065
2000-10-01,-8.995827013718348
2000-11-01,-6.780991569804566
2000-12-01,-4.437715202555502
2001-01-01,3.229551654844772
2001-02-01,7.751643556379082
2001-03-01,10.288118636759942
2001-04-01,12.23167951483975
2001-05-01,10.576437024694409
2001-06-01,6.16917782563336
2001-07-01,1.349724209719352
2001-08-01,-0.9320160362391079
2001-09-01,-6.5418754777191355
2001-10-01,-7.044008819853282
2001-11-01,-7.221593540688995
2001-12-01,0.05171914713540238
2002-01-01,1.2176103037233061
2002-02-01,6.681003114226337
2002-03-01,11.979031514687305
2002-04-01,11.845459838284855
2002-05-01,11.84609537183761
2002-06-01,6.423596713029815
2002-07-01,4.7346430714828
2002-08-01,-1.9322945501938766
2002-09-01,-7.717401146883777
2002-10-01,-8.377699359057761
2002-11-01,-6.703143684352406
2002-12-01,-3.5037319412180516
2003-01-01,1.9964164630442902
2003-02-01,8.440729646711095
2003-03-01,12.607280913434712
2003-04-01,12.677590773937622
2003-05-01,10.555061955034969
2003-06-01,7.776370616534095
2003-07-01,2.268895119266706
2003-08-01,-1.860887730768734
2003-09-01,-3.6527558108609854
2003-10-01,-6.437102305177743
2003-11-01,-6.40878444669897
2003-12-01,-3.198143542411874
2004-01-01,2.8994454729292576
2004-02-01,8.159959583652252
2004-03-01,12.795849936433132
2004-04-01,13.411173570495373
2004-05-01,11.571365215872696
2004-06-01,8.28044686700572
2004-07-01,4.581227617732061
2004-08-01,-1.7141772101191934
2004-09-01,-5.316498802124622
2004-10-01,-6.691134989271761
2004-11-01,-5.288111939748887
2004-12-01,0.6321461109294781
2005-01-01,2.166574638439184
2005-02-01,8.920159750804798
2005-03-01,12.297511356004913
2005-04-01,13.127432107164278
2005-05-01,12.718835975936894
2005-06-01,8.252243975956683
2005-07-01,4.041909108419322
2005-08-01,-0.15315472830492194
2005-09-01,-5.556198071264156
2005-10-01,-6.123944263429316
2005-11-01,-5.122523180511979
2005-12-01,-1.9652875210630736
2006-01-01,3.2695528657211366
2006-02-01,8.658607357773535
2006-03-01,12.229278854606823
2006-04-01,14.663793005571158
2006-05-01,12.4263628870142
2006-06-01,8.55901389996249
2006-07-01,4.3606013511832735
2006-08-01,-1.386755158495091
2006-09-01,-3.476490529886364
2006-10-01,-4.0884412332819995
2006-11-01,-4.829876515074271
2006-12-01,-1.9896773778525434
2007-01-01,4.417814051112278
2007-02-01,7.984821571265545
2007-03-01,13.530823139015249
2007-04-01,13.449011609936269
2007-05-01,13.570113856587167
2007-06-01,10.499699761520127
2007-07-01,3.7903498655529857
2007-08-01,0.12771285228326412
2007-09-01,-4.30706164407018
2007-10-01,-5.79712321965339
2007-11-01,-4.559230236865651
2007-12-01,0.6852790017758699
2008-01-01,5.577959010663392
2008-02-01,10.159611893194528
2008-03-01,13.596588675792072
2008-04-01,14.409052017156577
2008-05-01,12.715164075924886
2008-06-01,8.91230624252757
2008-07-01,3.934651521501974
2008-08-01,0.5396075724709819
2008-09-01,-2.7470237301802385
2008-10-01,-5.901874851876405
2008-11-01,-4.375808060450546
2008-12-01,-1.5180597284704733
2009-01-01,2.807721173701656
2009-02-01,10.44608339447554
2009-03-01,13.822265908175678
2009-04-01,14.688049447316054
2009-05-01,11.490386059742018
2009-06-01,10.849718270246747
2009-07-01,4.732192513003903
2009-08-01,-1.859880590147454
2009-09-01,-2.3210630375588437
2009-10-01,-4.779415052022512
2009-11-01,-3.8182701982471943
2009-12-01,0.3868662923872767
2010-01-01,4.0564811678202
2010-02-01,10.952893565147145
2010-03-01,13.3804928778683
2010-04-01,15.456834045615926
2010-05-01,15.242415493952773
2010-06-01,9.937964001984025
2010-07-01,6.473958806324898
2010-08-01,0.7767436584453676
2010-09-01,-1.585527585329086
2010-10-01,-5.143359453928489
2010-11-01,-1.87225360459735
2010-12-01,1.5226133442729022
2011-01-01,5.2656281608604925
2011-02-01,9.133405076689971
2011-03-01,15.248930521837377
2011-04-01,16.518262859052385
2011-05-01,14.78959942451596
2011-06-01,12.277848337051747
2011-07-01,4.975549910811775
2011-08-01,-0.8273889206372027
2011-09-01,-4.54053347298198
2011-10-01,-3.716675537125934
2011-11-01,-3.15401292591603
2011-12-01,0.5872657248438488
2012-01-01,5.087074336434567
2012-02-01,10.839334425245594
2012-03-01,15.177463826416323
2012-04-01,17.543227650904935
2012-05-01,15.831757996641795
2012-06-01,8.102508505943106
2012-07-01,7.224873497808751
2012-08-01,0.8286644021377864
2012-09-01,-2.4554721140755444
2012-10-01,-4.281172688843235
2012-11-01,-4.483688007826749
2012-12-01,0.361725628091105
2013-01-01,5.846736263037728
2013-02-01,9.250047117590583
2013-03-01,15.191512779888322
2013-04-01,16.4750052376944
2013-05-01,15.162225453198708
2013-06-01,11.435596942708763
2013-07-01,6.563428036333642
2013-08-01,1.8612529972112082
2013-09-01,-0.45269821205426464
2013-10-01,-4.394909807580759
2013-11-01,-3.5644869906236707
2013-12-01,0.648116118782264
2014-01-01,7.799946282774353
2014-02-01,9.5499733662441
2014-03-01,17.472140394248143
2014-04-01,16.367934099452075
2014-05-01,13.77521334352798
2014-06-01,11.174307197280053
2014-07-01,6.45616948527094
2014-08-01,1.8616510724279316
2014-09-01,-2.714387677178616
2014-10-01,-3.4019784313817776
2014-11-01,-1.6828934360679286
2014-12-01,1.4452868224563578
2015-01-01,6.2149003084350305
2015-02-01,13.50908337488002
2015-03-01,16.848918719909186
2015-04-01,16.000295978200427
2015-05-01,15.738742157664511
2015-06-01,10.218672134388502
2015-07-01,6.149906847354968
2015-08-01,2.3642274694584593
2015-09-01,-1.9598939702452784
2015-10-01,-1.3725944184990975
2015-11-01,-1.0825356600914433
2015-12-01,3.172760243281042
2016-01-01,8.006724889933949
2016-02-01,11.651872015600068
2016-03-01,15.01770709595183
2016-04-01,17.904432375029955
2016-05-01,16.174323862832512
2016-06-01,13.416454850990593
2016-07-01,6.367681243965287
2016-08-01,1.7163878922771312
2016-09-01,-2.14107387049702
2016-10-01,-1.9620291691103455
2016-11-01,-1.9353801500427816
2016-12-01,3.983664529019808
2017-01-01,9.835203657831578
2017-02-01,12.709812168377425
2017-03-01,15.129442871377632
2017-04-01,18.868451757884024
2017-05-01,17.517643844193586
2017-06-01,12.088384632671037
2017-07-01,7.33594671128133
2017-08-01,2.524549748713998
2017-09-01,-0.9966833333053139
2017-10-01,-3.114928038965193
2017-11-01,-0.35090836300638917
2017-12-01,2.0854497553048006
2018-01-01,8.241443850607181
2018-02-01,13.406033759523753
2018-03-01,16.855541525821085
2018-04-01,16.985262627004527
2018-05-01,15.526383805223835
2018-06-01,12.594353849588215
2018-07-01,8.108042779518843
2018-08-01,2.4207106064604282
2018-09-01,0.18353439914724323
2018-10-01,-3.0564786284884535
2018-11-01,-2.0099210008640527
2018-12-01,2.9521003629771068
2019-01-01,8.383932827356425
2019-02-01,11.76948808422533
2019-03-01,15.509897647563823
2019-04-01,16.973229810450583
2019-05-01,14.92966450843383
2019-06-01,14.638651064891574
2019-07-01,6.535574992636882
2019-08-01,4.511866738240664
2019-09-01,-0.8414472211838595
2019-10-01,-0.6569476095592912
2019-11-01,0.30285367091140436
2019-12-01,4.198206889269485
2020-01-01,9.976230897718715
2020-02-01,11.28201462248801
2020-03-01,16.62376216960146
2020-04-01,18.329700058388593
2020-05-01,15.929132411686988
2020-06-01,14.506090638216229
2020-07-01,8.611392438487773
2020-08-01,3.3489712336032524
2020-09-01,0.5656227776574168
2020-10-01,-0.6861781523269417
2020-11-01,0.9691808697665605
2020-12-01,2.802649181325973
2021-01-01,8.971834385639323
2021-02-01,12.79902901707886
2021-03-01,16.331048330140753
2021-04-01,17.53065967090621
2021-05-01,17.018955483371112
2021-06-01,13.190526042246786
2021-07-01,8.916899803821707
2021-08-01,4.689612143345398
2021-09-01,0.4400981054606501
2021-10-01,-4.107415354765662
2021-11-01,1.5842450838770539
2021-12-01,3.2589455817212842
2022-01-01,9.42404070695289
2022-02-01,13.319956059112092
2022-03-01,18.788372523765045
2022-04-01,19.772019926334686
2022-05-01,16.63612251307548
2022-06-01,15.744943789609637
2022-07-01,9.02664389945187
2022-08-01,3.258020957685163
2022-09-01,-0.7315901491481891
2022-10-01,-0.527230685676092
2022-11-01,0.6204465526791226
2022-12-01,3.866345809310697
2023-01-01,10.48311311093407
2023-02-01,12.590742833061954
2023-03-01,17.968308614743226
2023-04-01,20.306518090357933
2023-05-01,16.73908005758158
2023-06-01,15.061691785785388
2023-07-01,9.623806472688605
2023-08-01,4.695725947156583
2023-09-01,1.3259650110867733
2023-10-01,0.343728083923875
2023-11-01,-0.6525202172067419
2023-12-01,4.829678975577358
2024-01-01,9.725999796923855
2024-02-01,13.940561417416193
2024-03-01,18.017895736455106
